Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,32,E-,7,Ground,32,E+,7,111473.750248627,4.99014162736564E-10,1003253.49746366,891779.747215031,0.00323638737366936,2.40838720665196E-9,0,"sQ12,20(32)",v=0 32 14 19 - v=0 32 12 20
AsymmetricTop,Ground,32,E+,8,Ground,32,E-,6,111473.750252821,4.99014162785985E-10,1003253.49746366,891779.747210838,0.00323638737364738,2.4083872069074E-9,0,"sQ12,21(32)",v=0 32 14 18 - v=0 32 12 21
AsymmetricTop,Ground,31,E-,7,Ground,31,E+,7,111509.584132382,6.77552453214322E-10,967937.017643994,856427.433511612,0.00287391379252029,2.2086714093996E-9,0,"sQ12,19(31)",v=0 31 14 18 - v=0 31 12 19
AsymmetricTop,Ground,31,E+,8,Ground,31,E-,6,111509.584134294,6.7755245324493E-10,967937.017643994,856427.4335097,0.00287391379251151,2.20867140950644E-9,0,"sQ12,20(31)",v=0 31 14 17 - v=0 31 12 20
AsymmetricTop,Ground,30,E-,7,Ground,30,E+,7,111542.125875113,9.02437567657679E-10,933730.032234825,822187.906359713,0.00253716424056052,2.01556511348666E-9,0,"sQ12,18(30)",v=0 30 14 17 - v=0 30 12 18
AsymmetricTop,Ground,30,E+,8,Ground,30,E-,6,111542.125875959,9.02437567675754E-10,933730.032234826,822187.906358866,0.00253716424055715,2.01556511352988E-9,0,"sQ12,19(30)",v=0 30 14 16 - v=0 30 12 19
AsymmetricTop,Ground,29,E-,7,Ground,29,E+,7,111571.58909907,1.17828007986497E-9,900631.979693682,789060.390594613,0.00222532105581737,1.8292070034307E-9,0,"sQ12,17(29)",v=0 29 14 16 - v=0 29 12 17
AsymmetricTop,Ground,29,E+,8,Ground,29,E-,6,111571.589099434,1.17828007987491E-9,900631.979693683,789060.390594249,0.00222532105581571,1.82920700344725E-9,0,"sQ12,18(29)",v=0 29 14 15 - v=0 29 12 18
AsymmetricTop,Ground,28,E-,7,Ground,28,E+,7,111598.179009147,1.50693569958617E-9,868642.317499568,757044.138490421,0.0019375754479292,1.64974349674127E-9,0,"sQ12,16(28)",v=0 28 14 15 - v=0 28 12 16
AsymmetricTop,Ground,28,E+,8,Ground,28,E-,6,111598.179009298,1.50693569959125E-9,868642.317499568,757044.13849027,0.00193757544792836,1.64974349674724E-9,0,"sQ12,17(28)",v=0 28 14 14 - v=0 28 12 17
AsymmetricTop,Ground,27,E-,7,Ground,27,E+,7,111622.092648957,1.88600686379253E-9,837760.52200166,726138.429352704,0.00167312759139502,1.47733227601862E-9,0,"sQ12,15(27)",v=0 27 14 14 - v=0 27 12 15
AsymmetricTop,Ground,27,E+,8,Ground,27,E-,6,111622.092649017,1.88600686379479E-9,837760.52200166,726138.429352643,0.00167312759139449,1.47733227602053E-9,0,"sQ12,16(27)",v=0 27 14 13 - v=0 27 12 16
AsymmetricTop,Ground,26,E-,7,Ground,26,E+,7,111643.519128906,2.30723192387672E-9,807986.088283825,696342.569154919,0.00143118690169891,1.31214663035537E-9,0,"sQ12,14(26)",v=0 26 14 13 - v=0 26 12 14
AsymmetricTop,Ground,26,E+,8,Ground,26,E-,6,111643.519128929,2.30723192387756E-9,807986.088283824,696342.569154895,0.0014311869016986,1.31214663035589E-9,0,"sQ12,15(26)",v=0 26 14 12 - v=0 26 12 15
AsymmetricTop,Ground,34,O+,4,Ground,33,O+,2,111648.212764018,3.08876216806735E-9,764663.639738663,653015.426974645,0.00113919297534975,8.02351866925705E-10,0,"uR3,30(33)",v=0 34  7 27 - v=0 33  3 30
AsymmetricTop,Ground,25,E-,7,Ground,25,E+,7,111662.639828815,2.75497077409105E-9,779318.530043704,667655.890214889,0.00121097253188829,1.15438087344544E-9,0,"sQ12,13(25)",v=0 25 14 12 - v=0 25 12 13
AsymmetricTop,Ground,25,E+,8,Ground,25,E-,6,111662.639828824,2.75497077409102E-9,779318.530043704,667655.890214881,0.00121097253188802,1.15438087344545E-9,0,"sQ12,14(25)",v=0 25 14 11 - v=0 25 12 14
AsymmetricTop,Ground,24,E-,7,Ground,24,E+,7,111679.628577385,3.20508676143957E-9,751757.379485248,640077.750907863,0.00101171414024004,1.00425720540757E-9,0,"sQ12,12(24)",v=0 24 14 11 - v=0 24 12 12
AsymmetricTop,Ground,24,E+,8,Ground,24,E-,6,111679.628577389,3.20508676143916E-9,751757.379485249,640077.75090786,0.00101171414023983,1.00425720540745E-9,0,"sQ12,13(24)",v=0 24 14 10 - v=0 24 12 13
AsymmetricTop,Ground,23,E-,7,Ground,23,E+,7,111694.651810636,3.62460695742252E-9,725302.187223591,613607.535412955,0.000832652997693027,8.62034528347669E-10,0,"sQ12,11(23)",v=0 23 14 10 - v=0 23 12 11
AsymmetricTop,Ground,23,E+,8,Ground,23,E-,6,111694.651810637,3.624606957422E-9,725302.187223591,613607.535412954,0.000832652997692885,8.62034528347544E-10,0,"sQ12,12(23)",v=0 23 14  9 - v=0 23 12 12
AsymmetricTop,Ground,22,E-,7,Ground,22,E+,7,111707.868711236,3.97259735793687E-9,699952.522201271,588244.653490035,0.000673043528951474,7.28019933775718E-10,0,"sQ12,10(22)",v=0 22 14  9 - v=0 22 12 10
AsymmetricTop,Ground,22,E+,8,Ground,22,E-,6,111707.868711237,3.97259735793602E-9,699952.522201271,588244.653490035,0.000673043528951321,7.28019933775566E-10,0,"sQ12,11(22)",v=0 22 14  8 - v=0 22 12 11
AsymmetricTop,Ground,21,E-,7,Ground,21,E+,7,111719.431330493,4.20269484517697E-9,675707.971614818,563988.540284325,0.000532155416963408,6.02583887262329E-10,0,"sQ12,9(21)",v=0 21 14  8 - v=0 21 12  9
AsymmetricTop,Ground,21,E+,8,Ground,21,E-,6,111719.431330494,4.20269484517584E-9,675707.971614818,563988.540284325,0.00053215541696326,6.02583887262171E-10,0,"sQ12,10(21)",v=0 21 14  7 - v=0 21 12 10
AsymmetricTop,Ground,20,E+,8,Ground,20,E-,6,111729.484694654,4.26767359513628E-9,652568.140850813,540838.65615616,0.000409276452023846,4.86180596692041E-10,0,"sQ12,9(20)",v=0 20 14  6 - v=0 20 12  9
AsymmetricTop,Ground,20,E-,7,Ground,20,E+,7,111729.484694654,4.26767359513754E-9,652568.140850814,540838.65615616,0.000409276452023964,4.86180596692189E-10,0,"sQ12,8(20)",v=0 20 14  7 - v=0 20 12  8
AsymmetricTop,Ground,19,E+,8,Ground,19,E-,6,111738.166897006,4.12627619118349E-9,630532.653430564,518794.486533559,0.000303716382174666,3.79375754121475E-10,0,"sQ12,8(19)",v=0 19 14  5 - v=0 19 12  8
AsymmetricTop,Ground,19,E-,7,Ground,19,E+,7,111738.166897006,4.12627619118444E-9,630532.653430565,518794.486533559,0.000303716382174735,3.79375754121565E-10,0,"sQ12,7(19)",v=0 19 14  6 - v=0 19 12  7
AsymmetricTop,Ground,18,E+,8,Ground,18,E-,6,111745.609177181,3.75230731234541E-9,609601.150962578,497855.541785397,0.000214812133866198,2.82884935880622E-10,0,"sQ12,7(18)",v=0 18 14  4 - v=0 18 12  7
