Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,1,O+,1,Ground,1,O-,1,100,1.07902287144204E-7,35600,35500,0.5,5.81982711193536E-15,0,"qQ1,1(1)",v=0  1  1  0 - v=0  1  1  1
AsymmetricTop,Ground,2,O+,1,Ground,2,O-,1,300,4.13354832403441E-7,57900,57600,0.277777777777778,5.23784440074182E-14,0,"qQ1,2(2)",v=0  2  1  1 - v=0  2  1  2
AsymmetricTop,Ground,3,O+,1,Ground,3,O-,1,599.999411908968,7.76187846824366E-7,91349.8079879,90749.808575991,0.194445206783634,2.09513981382032E-13,0,"qQ1,3(3)",v=0  3  1  2 - v=0  3  1  3
AsymmetricTop,Ground,4,O+,1,Ground,4,O-,1,999.995883384254,9.7636444980229E-7,135949.192725021,134949.196841637,0.150002469963479,5.8198510688081E-13,0,"qQ1,4(4)",v=0  4  1  3 - v=0  4  1  4
AsymmetricTop,Ground,5,O+,1,Ground,5,O-,1,1499.98353370384,9.19761001295897E-7,191697.844517487,190197.860983783,0.12222758899683,1.30947547321967E-12,0,"qQ1,5(5)",v=0  5  1  4 - v=0  5  1  5
AsymmetricTop,Ground,6,O+,1,Ground,6,O-,1,2099.95060197194,6.84462203225489E-7,258595.374033112,256495.42343114,0.103184310986119,2.56660411506901E-12,0,"qQ1,6(6)",v=0  6  1  5 - v=0  6  1  6
AsymmetricTop,Ground,7,O+,1,Ground,7,O-,1,2799.87650833878,4.14582956981167E-7,336641.310817752,333841.434309413,0.0893014657061435,4.56294560849462E-12,0,"qQ1,7(7)",v=0  7  1  6 - v=0  7  1  7
AsymmetricTop,Ground,8,O+,1,Ground,8,O-,1,3599.72832952003,2.08197124934269E-7,425835.10150828,422235.37317876,0.0787274608112505,7.54306472949777E-12,0,"qQ1,8(8)",v=0  8  1  7 - v=0  8  1  8
AsymmetricTop,Ground,9,O+,1,Ground,9,O-,1,4499.45669082674,8.77492774027982E-8,526176.10773916,521676.651048334,0.0704043550843988,1.17865712306272E-11,0,"qQ1,9(9)",v=0  9  1  8 - v=0  9  1  9
AsymmetricTop,Ground,1,E+,1,Ground,0,E+,1,11100,0.00127124026853901,11100,0,0.333333333333333,5.30625064861551E-9,0,"qR0,0(0)",v=0  1  0  1 - v=0  0  0  0
AsymmetricTop,Ground,2,O-,1,Ground,1,O-,1,22100,0.00463200328314827,57600,35500,0.5,3.7691042934157E-8,0,"qR1,1(1)",v=0  2  1  2 - v=0  1  1  1
AsymmetricTop,Ground,2,E+,1,Ground,1,E+,1,22199.6932524958,0.00834658462703925,33299.6932524958,11100,0.666664575694751,5.09377349075718E-8,0,"qR0,1(1)",v=0  2  0  2 - v=0  1  0  1
AsymmetricTop,Ground,2,O+,1,Ground,1,O+,1,22300,0.00470516653143864,57900,35600,0.5,3.87236176117342E-8,0,"qR1,0(1)",v=0  2  1  1 - v=0  1  1  0
AsymmetricTop,Ground,5,E+,2,Ground,6,E+,1,31231.2829017222,3.99825051768505E-8,264309.814842799,233078.531941077,0.0000243626829976326,2.35593462937287E-12,0,"sP0,6(6)",v=0  5  2  3 - v=0  6  0  6
AsymmetricTop,Ground,3,O-,1,Ground,2,O-,1,33149.808575991,0.0133495074768142,90749.808575991,57600,0.888888020311339,1.61530085015409E-7,0,"qR1,2(2)",v=0  3  1  3 - v=0  2  1  2
AsymmetricTop,Ground,3,E+,1,Ground,2,E+,1,33298.7730292249,0.0202660225914698,66598.4662817208,33299.6932524958,0.999991636483956,1.84180800044755E-7,0,"qR0,2(2)",v=0  3  0  3 - v=0  2  0  2
AsymmetricTop,Ground,3,E-,1,Ground,2,E-,1,33300,0.00348272571828609,164400,131100,0.555555555555555,1.02334833937585E-7,0,"qR2,1(2)",v=0  3  2  2 - v=0  2  2  1
AsymmetricTop,Ground,3,E+,2,Ground,2,E+,2,33301.2269707751,0.00348294561956258,164401.533718279,131100.306747504,0.555555555664854,1.02346146252947E-7,0,"qR2,0(2)",v=0  3  2  1 - v=0  2  2  0
AsymmetricTop,Ground,3,O+,1,Ground,2,O+,1,33449.8079879,0.0135206489717146,91349.8079879,57900,0.888888014966274,1.65955340109826E-7,0,"qR1,1(2)",v=0  3  1  2 - v=0  2  1  1
AsymmetricTop,Ground,4,E+,2,Ground,5,E+,1,42315.0975298038,7.89577588149659E-8,208804.362436074,166489.26490627,0.0000125378218266298,3.68575918720075E-12,0,"sP0,5(5)",v=0  4  2  2 - v=0  5  0  5
AsymmetricTop,Ground,4,O-,1,Ground,3,O-,1,44199.3882656462,0.0210908300196002,134949.196841637,90749.808575991,1.2499970755521,4.1877099811919E-7,0,"qR1,3(3)",v=0  4  1  4 - v=0  3  1  3
AsymmetricTop,Ground,4,E+,1,Ground,3,E+,1,44396.9326993231,0.0302946857082467,110995.398981044,66598.4662817208,1.33331242696244,4.5269912066608E-7,0,"qR0,3(3)",v=0  4  0  4 - v=0  3  0  3
AsymmetricTop,Ground,4,E-,1,Ground,3,E-,1,44399.7614180536,0.00702857044861373,208799.761418054,164400,0.999999186838587,3.39594290906496E-7,0,"qR2,2(3)",v=0  4  2  3 - v=0  3  2  2
AsymmetricTop,Ground,4,O-,2,Ground,3,O-,2,44400.6117343538,0.000945776152691712,331050.803158363,286650.191424009,0.583333790734315,1.98108367815601E-7,0,"qR3,1(3)",v=0  4  3  2 - v=0  3  3  1
AsymmetricTop,Ground,4,O+,2,Ground,3,O+,2,44400.6152628785,0.000945776278089567,331050.807274978,286650.1920121,0.583333790734359,1.98108415046743E-7,0,"qR3,0(3)",v=0  4  3  1 - v=0  3  3  0
AsymmetricTop,Ground,4,E+,2,Ground,3,E+,2,44402.828717795,0.00702929433924038,208804.362436074,164401.533718279,0.999999188004245,3.39664677453789E-7,0,"qR2,1(3)",v=0  4  2  2 - v=0  3  2  1
AsymmetricTop,Ground,4,O+,1,Ground,3,O+,1,44599.3847371215,0.021273669624163,135949.192725021,91349.8079879,1.24999704348205,4.3024359395277E-7,0,"qR1,2(3)",v=0  4  1  3 - v=0  3  1  2
AsymmetricTop,Ground,3,E+,2,Ground,4,E+,1,53406.1347372353,9.60628771617316E-8,164401.533718279,110995.398981044,5.22606101434408E-6,3.97110354101662E-12,0,"sP0,4(4)",v=0  3  2  1 - v=0  4  0  4
AsymmetricTop,Ground,5,O-,1,Ground,4,O-,1,55248.6641421459,0.0233809211280215,190197.860983783,134949.196841637,1.59999346936635,8.56548982727671E-7,0,"qR1,4(4)",v=0  5  1  5 - v=0  4  1  4
AsymmetricTop,Ground,5,E+,1,Ground,4,E+,1,55493.8659252265,0.032709614516476,166489.26490627,110995.398981044,1.6666248639779,9.04151999283084E-7,0,"qR0,4(4)",v=0  5  0  5 - v=0  4  0  4
AsymmetricTop,Ground,5,E-,1,Ground,4,E-,1,55499.318339434,0.00849976589492974,264299.079757488,208799.761418054,1.3999973979032,7.59729209416089E-7,0,"qR2,3(4)",v=0  5  2  4 - v=0  4  2  3
AsymmetricTop,Ground,5,E-,2,Ground,4,E-,2,55500.681660566,0.000107801221999404,557700.920242512,502200.238581946,0.600000557598632,3.25623135639923E-7,0,"qR4,1(4)",v=0  5  4  2 - v=0  4  4  1
AsymmetricTop,Ground,5,E+,3,Ground,4,E+,3,55500.6816680491,0.000107801222022958,557700.920250931,502200.238582882,0.600000557598632,3.25623135771634E-7,0,"qR4,0(4)",v=0  5  4  1 - v=0  4  4  0
AsymmetricTop,Ground,5,O-,2,Ground,4,O-,2,55501.0482808528,0.00149388313107578,386551.851439216,331050.803158363,1.06666734620345,5.78896877170989E-7,0,"qR3,2(4)",v=0  5  3  3 - v=0  4  3  2
AsymmetricTop,Ground,5,O+,2,Ground,4,O+,2,55501.060630532,0.00149388362362382,386551.867905511,331050.807274978,1.066667346204,5.78897263606817E-7,0,"qR3,1(4)",v=0  5  3  2 - v=0  4  3  1
AsymmetricTop,Ground,5,E+,2,Ground,4,E+,2,55505.4524067246,0.00850089724392221,264309.814842799,208804.362436074,1.39999740427572,7.59981148141824E-7,0,"qR2,2(4)",v=0  5  2  3 - v=0  4  2  2
AsymmetricTop,Ground,5,O+,1,Ground,4,O+,1,55748.6517924655,0.0234594017560727,191697.844517487,135949.192725021,1.59999335712356,8.80014716999118E-7,0,"qR1,3(4)",v=0  5  1  4 - v=0  4  1  3
AsymmetricTop,Ground,2,E+,2,Ground,3,E+,1,64501.8404657834,6.00311974752399E-8,131100.306747504,66598.4662817208,1.39387197842467E-6,2.61234503313523E-12,0,"sP0,3(3)",v=0  2  2  0 - v=0  3  0  3
AsymmetricTop,Ground,6,O-,1,Ground,5,O-,1,66297.5624473565,0.0198922533144707,256495.42343114,190197.860983783,1.94443239614143,1.52196096145014E-6,0,"qR1,5(5)",v=0  6  1  6 - v=0  5  1  5
