Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,7,O+,1,Ground,7,O-,1,2799.87650833878,4.59806958047149E-10,336641.310817752,333841.434309413,0.0893014657061435,4.56294560849462E-12,0,"qQ1,7(7)",v=0  7  1  6 - v=0  7  1  7
AsymmetricTop,Ground,22,E+,2,Ground,22,E-,1,3168.02558381902,5.0397801889304E-10,2908742.47730683,2905574.45172301,0.115367110778936,2.84640620058435E-12,0,"qQ2,21(22)",v=0 22  2 20 - v=0 22  2 21
AsymmetricTop,Ground,8,O+,1,Ground,8,O-,1,3599.72832952003,6.60595845929611E-10,425835.10150828,422235.37317876,0.0787274608112505,7.54306472949777E-12,0,"qQ1,8(8)",v=0  8  1  7 - v=0  8  1  8
AsymmetricTop,Ground,23,E+,2,Ground,23,E-,1,3752.10576631734,6.46650926577959E-10,3164524.90514209,3160772.79937577,0.109930457860258,4.3142641146481E-12,0,"qQ2,22(23)",v=0 23  2 21 - v=0 23  2 22
AsymmetricTop,Ground,24,E+,2,Ground,24,E-,1,4408.87920699175,8.16334922556883E-10,3431466.07329624,3427057.19408924,0.104889855614594,6.40594701669579E-12,0,"qQ2,23(24)",v=0 24  2 22 - v=0 24  2 23
AsymmetricTop,Ground,9,O+,1,Ground,9,O-,1,4499.45669082674,9.08342776183901E-10,526176.10773916,521676.651048334,0.0704043550843988,1.17865712306272E-11,0,"qQ1,9(9)",v=0  9  1  8 - v=0  9  1  9
AsymmetricTop,Ground,25,E+,2,Ground,25,E-,1,5142.70710470434,1.01491894543953E-9,3709569.14131432,3704426.43420962,0.100199449506328,9.33107895996079E-12,0,"qQ2,24(25)",v=0 25  2 23 - v=0 25  2 24
AsymmetricTop,Ground,10,O+,1,Ground,10,O-,1,5498.99107816909,1.20561607054593E-9,637663.603739616,632164.612661446,0.0636830576214259,1.76082011686327E-11,0,"qQ1,10(10)",v=0 10  1  9 - v=0 10  1 10
AsymmetricTop,Ground,44,O+,2,Ground,44,O-,2,5789.23052974045,4.85214618990153E-10,11218395.1340021,11212605.9034724,0.125652706977341,9.56545664041991E-12,0,"qQ3,42(44)",v=0 44  3 41 - v=0 44  3 42
AsymmetricTop,Ground,26,E+,2,Ground,26,E-,1,5957.73954709386,1.24376276347986E-9,3998837.01218536,3992879.27263826,0.0958210644810816,1.33502990888283E-11,0,"qQ2,25(26)",v=0 26  2 24 - v=0 26  2 25
AsymmetricTop,Ground,45,O+,2,Ground,45,O-,2,6560.11142773554,5.58672719807691E-10,11718880.4562868,11712320.344859,0.122056164438,1.32224918616239E-11,0,"qQ3,43(45)",v=0 45  3 42 - v=0 45  3 43
AsymmetricTop,Ground,11,O+,1,Ground,11,O-,1,6598.23457519268,1.55413872184855E-9,760296.77361867,753698.539043477,0.0581429523455286,2.53579319232357E-11,0,"qQ1,11(11)",v=0 11  1 10 - v=0 11  1 11
AsymmetricTop,Ground,27,E+,2,Ground,27,E-,1,6857.87552103773,1.50358581026635E-9,4299272.29330942,4292414.41778838,0.0917228017616684,1.87821260162208E-11,0,"qQ2,26(27)",v=0 27  2 25 - v=0 27  2 26
