Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,11,E+,2,Ground,11,E-,1,7326.60626137862,8.23558460278215E-8,804581.998928006,797255.392666627,0.218881158892751,1.30692430765998E-10,0,"qQ2,10(11)",v=0 11  2  9 - v=0 11  2 10
AsymmetricTop,Ground,27,E+,3,Ground,27,E-,2,7927.21983871702,2.69365817857842E-8,4424676.2484796,4416749.02864088,0.347447096081081,1.09887941344841E-10,0,"qQ4,24(27)",v=0 27  4 23 - v=0 27  4 24
AsymmetricTop,Ground,19,O+,2,Ground,19,O-,2,8285.25399231119,6.75479340827835E-8,2249173.27770671,2240888.0237144,0.280746379480379,1.42964553098699E-10,0,"qQ3,17(19)",v=0 19  3 16 - v=0 19  3 17
AsymmetricTop,Ground,8,E+,2,Ground,9,E+,1,8845.11764875089,1.77431012984744E-9,482348.489794186,473503.372145435,0.00277090056529217,3.93862102688124E-12,0,"sP0,9(9)",v=0  8  2  6 - v=0  9  0  9
AsymmetricTop,Ground,36,O+,3,Ground,36,O-,3,8993.6856891904,8.16790153915416E-9,7718085.40921102,7709091.72352183,0.397513937876185,1.38326042439366E-10,0,"qQ5,32(36)",v=0 36  5 31 - v=0 36  5 32
AsymmetricTop,Ground,5,O+,1,Ground,5,O-,1,8996.51681971748,9.3392736165612E-8,188121.727539115,179125.210719398,0.122411409274196,2.82952630102216E-10,0,"qQ1,5(5)",v=0  5  1  4 - v=0  5  1  5
AsymmetricTop,Ground,45,E+,4,Ground,45,E-,3,9536.92841886543,1.37709752297217E-9,11925582.5208849,11916045.592466,0.448921892699361,1.49422602279726E-10,0,"qQ6,40(45)",v=0 45  6 39 - v=0 45  6 40
AsymmetricTop,Ground,17,O+,1,Ground,16,O+,2,9641.33258859534,2.23375940082078E-9,1679658.77836278,1670017.44577419,0.0052147261547382,4.66268407183401E-12,0,"oR3,13(16)",v=0 17  1 16 - v=0 16  3 13
AsymmetricTop,Ground,12,E+,2,Ground,12,E-,1,10028.182730459,1.30994071131987E-7,933994.824332942,923966.641602483,0.197614315696305,2.78359754447141E-10,0,"qQ2,11(12)",v=0 12  2 10 - v=0 12  2 11
AsymmetricTop,Ground,28,E+,3,Ground,28,E-,2,10287.4956982573,3.71839613055715E-8,4725569.12934611,4715281.63364785,0.328846210014229,2.19335191855235E-10,0,"qQ4,25(28)",v=0 28  4 24 - v=0 28  4 25
AsymmetricTop,Ground,1,E+,1,Ground,0,E+,1,10600,3.84592417344952E-7,10600,0,0.333333333333333,4.62100480503254E-9,0,"qR0,0(0)",v=0  1  0  1 - v=0  0  0  0
AsymmetricTop,Ground,24,E+,2,Ground,23,E+,3,10736.628279469,1.38237439979786E-9,3342682.7128315,3331946.08455204,0.00577918390960191,5.097245145232E-12,0,"oR4,19(23)",v=0 24  2 22 - v=0 23  4 19
AsymmetricTop,Ground,20,O+,2,Ground,20,O-,2,10914.3263984676,9.85633754126798E-8,2464369.09478821,2453454.76838974,0.261585817591319,2.89655969636943E-10,0,"qQ3,18(20)",v=0 20  3 17 - v=0 20  3 18
AsymmetricTop,Ground,37,O+,3,Ground,37,O-,3,11459.9081254546,1.04676451766688E-8,8115821.96303139,8104362.05490594,0.379530275694841,2.65943820806309E-10,0,"qQ5,33(37)",v=0 37  5 32 - v=0 37  5 33
